606;Sao Paulo;São Paulo;SP
607;Ijuí;Rio Grande do Sul;RS
608;Salvador;Bahia;BA
609;Sao Paulo;São Paulo;SP
614;Recife;Pernambuco;PE
617;Brasilia;Distrito Federal;DF
618;Mesquita;Rio de Janeiro;RJ
622;Goiania;Goiás;GO
624;Belem;Pará;PA
626;Cascavel;Paraná;PR
627;Curitiba;Paraná;PR
628;Rio de Janeiro;Rio de Janeiro;RJ
638;Brasilia;Distrito Federal;DF
641;Brasília;Distrito Federal;DF
642;Recife;Pernambuco;PE
643;Resende;Rio de Janeiro;RJ
644;Cabo Frio;Rio de Janeiro;RJ
647;Duque de Caxias;Rio de Janeiro;RJ
651;Brasília;Distrito Federal;DF
653;Osasco;São Paulo;SP
655;Santos;São Paulo;SP
656;Olinda;Pernambuco;PE
660;Rio de Janeiro;Rio de Janeiro;RJ
664;Belo Horizonte;Minas Gerais;MG
665;Sao Paulo;São Paulo;SP
680;Londrina;Paraná;PR
683;Duque de Caxias;Rio de Janeiro;RJ
684;Belém;Pará;PA
687;Belém;Pará;PA
688;São Mateus;Espírito Santo;ES
690;Rio de Janeiro;Rio de Janeiro;RJ
694;São Bento do Una;Pernambuco;PE
695;Goiânia;Goiás;GO
707;Rio Branco;Acre;AC
709;Brasilia;Distrito Federal;DF
713;Belo Horizonte;Minas Gerais;MG
715;Rio Grande;Rio Grande do Sul;RS
717;Nova Iguaçu;Rio de Janeiro;RJ
719;Rio de Janeiro;Rio de Janeiro;RJ
720;Cariacica;Espírito Santo;ES
723;Brasilia;Distrito Federal;DF
724;Recife;Pernambuco;PE
726;Porto Alegre;Rio Grande do Sul;RS
727;Belo Horizonte;Minas Gerais;MG
730;Brasilia;Distrito Federal;DF
731;Brumado;Bahia;BA
735;Brasília;Distrito Federal;DF
736;Sao Paulo;São Paulo;SP
737;São Paulo;São Paulo;SP
740;Além Paraíba;Minas Gerais;MG
741;Recife;Pernambuco;PE
742;Umbaúba;Sergipe;SE
744;Curitiba;Paraná;PR
745;Sao Paulo;São Paulo;SP
749;Cachoeira Paulista;São Paulo;SP
750;Recife;Pernambuco;PE
757;Rio de Janeiro;Rio de Janeiro;RJ
761;Coronel Fabriciano;Minas Gerais;MG
765;Rio de Janeiro;Rio de Janeiro;RJ
768;Rio de Janeiro;Rio de Janeiro;RJ
770;Campo Grande;Mato Grosso do Sul;MS
772;Salvador;Bahia;BA
773;Sao Paulo;São Paulo;SP
774;Presidente Prudente;São Paulo;SP
777;Recife;Pernambuco;PE
778;Rio de Janeiro;Rio de Janeiro;RJ
783;Cuiaba;Mato Grosso;MT
787;Jandira;São Paulo;SP
790;Presidente Epitácio;São Paulo;SP
793;Porto Alegre;Rio Grande do Sul;RS
800;TAGUATINGA;Distrito Federal;DF
806;Rio de Janeiro;Rio de Janeiro;RJ
811;Fortaleza;Ceará;CE
812;Feira de Santana;Bahia;BA
813;João Pessoa;Paraíba;PB
815;Rio Grande;Rio Grande do Sul;RS
816;Rio Grande;Rio Grande do Sul;RS
817;Rio Grande;Rio Grande do Sul;RS
818;Torres;Rio Grande do Sul;RS
821;Porto Alegre;Rio Grande do Sul;RS
824;Canoas;Rio Grande do Sul;RS
828;Porto Alegre;Rio Grande do Sul;RS
838;Brasilia;Distrito Federal;DF
840;Brasília;Distrito Federal;DF
842;Teresina;Piauí;PI
846;Teresina;Piauí;PI
847;Cruz;Ceará;CE
850;Belém;Pará;PA
851;Brasilia;Distrito Federal;DF
854;Brasilia;Distrito Federal;DF
855;Corinto;Minas Gerais;MG
856;Sao Paulo;São Paulo;SP
857;Sao Paulo;São Paulo;SP
866;Rio de Janeiro;Rio de Janeiro;RJ
877;Fortaleza;Ceará;CE
878;Belém;Pará;PA
879;Tramandaí;Rio Grande do Sul;RS
881;SÃO SEBASTIÃO;Distrito Federal;DF
882;Londrina;Paraná;PR
887;Brasilia;Distrito Federal;DF
888;Curitiba;Paraná;PR
894;Sao Paulo;São Paulo;SP
895;Natal;Rio Grande do Norte;RN
896;Catalão;Goiás;GO
900;Teresina;Piauí;PI
904;Cariacica;Espírito Santo;ES
905;Belo Horizonte;Minas Gerais;MG
907;Sao Paulo;São Paulo;SP
911;Porto Alegre;Rio Grande do Sul;RS
913;Brasília;Distrito Federal;DF
919;Salvador;Bahia;BA
925;Joao Pessoa;Paraíba;PB
929;Natal;Rio Grande do Norte;RN
932;Aracaju;Sergipe;SE
933;Fortaleza;Ceará;CE
934;Rio Branco;Acre;AC
935;São Paulo;São Paulo;SP
937;Fortaleza;Ceará;CE
938;Campinas;São Paulo;SP
940;Aracaju;Sergipe;SE
942;Rio de Janeiro;Rio de Janeiro;RJ
945;Manaus;Amazonas;AM
946;Cuiabá;Mato Grosso;MT
951;Belo Horizonte;Minas Gerais;MG
953;São Paulo;São Paulo;SP
954;Praia Grande;São Paulo;SP
955;Várzea Grande;Mato Grosso;MT
959;Petrolina;Pernambuco;PE
966;Ibirapitanga;Bahia;BA
972;Lins;São Paulo;SP
976;Brasília;Distrito Federal;DF
977;São Vicente;São Paulo;SP
981;Curitiba;Paraná;PR
982;Recife;Pernambuco;PE
984;Rio de Janeiro;Rio de Janeiro;RJ
988;Betim;Minas Gerais;MG
989;Natal;Rio Grande do Norte;RN
990;Fortaleza;Ceará;CE
992;Parauapebas;Pará;PA
994;Rio de Janeiro;Rio de Janeiro;RJ
995;Nova Hartz;Rio Grande do Sul;RS
999;Cianorte;Paraná;PR
1002;Fortaleza;Ceará;CE
1004;São Paulo;São Paulo;SP
1006;Rio de Janeiro;Rio de Janeiro;RJ
1014;Sapucaia do Sul;Rio Grande do Sul;RS
1016;Uruguaiana;Rio Grande do Sul;RS
1017;Brasilia;Distrito Federal;DF
1020;Brasília;Distrito Federal;DF
1021;Recife;Pernambuco;PE
